date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:40	48797/48797	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/privacy-policy.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/privacy-policy.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:42	7781/7781	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/coming-soon.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/coming-soon.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:43	52092/52092	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/search-page.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/search-page.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:43	42537/42537	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/404.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/404.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:44	55726/55726	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/courses.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/courses.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:46	78977/78977	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/single-course.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/single-course.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:47	55096/55096	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/become-a-teacher.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/become-a-teacher.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:48	48104/48104	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/demo-account.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/demo-account.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:48	49291/49291	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/products.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/products.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:49	64415/64415	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/single-product.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/single-product.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
